LOGOTIME,trap-xcor,trap-ycor
2010-01-01 12:00:11.807,2,14
2010-01-01 12:00:11.812,-6,1
2010-01-01 12:00:11.816,4,-8
2010-01-01 12:00:11.820,0,-16
2010-01-01 12:00:11.830,-2,16
2010-01-01 12:00:11.832,9,13
2010-01-01 12:00:11.858,0,1
2010-01-01 12:00:11.862,8,-5
2010-01-01 12:00:11.865,6,-14
2010-01-01 12:00:11.868,-13,11
2010-01-01 12:00:11.871,-10,12
2010-01-01 12:00:11.881,-12,9
2010-01-01 12:00:11.882,13,11
2010-01-01 12:00:11.892,0,-14
2010-01-01 12:00:11.906,14,-3
2010-01-01 12:00:11.910,10,15
2010-01-01 12:00:11.914,5,-12
2010-01-01 12:00:11.930,7,-7
2010-01-01 12:00:11.932,9,-14
2010-01-01 12:00:11.933,-1,-10
2010-01-01 12:00:11.952,-4,9
2010-01-01 12:00:11.953,7,-15
2010-01-01 12:00:11.955,9,-9
2010-01-01 12:00:11.987,-5,-6
2010-01-01 12:00:12.035,11,-9
2010-01-01 12:00:12.043,-9,-2
2010-01-01 12:00:12.047,13,-15
2010-01-01 12:00:12.053,-8,0
2010-01-01 12:00:12.060,-3,6
2010-01-01 12:00:12.068,12,11
2010-01-01 12:00:12.073,-3,13
2010-01-01 12:00:12.092,4,-9
2010-01-01 12:00:12.092,6,-8
2010-01-01 12:00:12.126,-12,5
2010-01-01 12:00:12.131,8,-15
2010-01-01 12:00:12.137,-2,-1
2010-01-01 12:00:12.180,-3,16
2010-01-01 12:00:12.184,0,-3
2010-01-01 12:00:12.186,-8,8
2010-01-01 12:00:12.215,-10,4
2010-01-01 12:00:12.235,4,-2
2010-01-01 12:00:12.235,3,-12
2010-01-01 12:00:12.246,-13,0
2010-01-01 12:00:12.280,-10,-1
2010-01-01 12:00:12.288,-16,9
2010-01-01 12:00:12.290,2,-16
2010-01-01 12:00:12.294,9,-6
2010-01-01 12:00:12.295,-3,-7
2010-01-01 12:00:12.296,-16,4
2010-01-01 12:00:12.302,-8,2
2010-01-01 12:00:12.305,1,-8
2010-01-01 12:00:12.325,6,2
2010-01-01 12:00:12.340,15,-8
2010-01-01 12:00:12.358,-4,14
2010-01-01 12:00:12.358,-6,6
2010-01-01 12:00:12.364,11,-13
2010-01-01 12:00:12.380,-1,13
2010-01-01 12:00:12.388,12,-15
2010-01-01 12:00:12.396,-1,-12
2010-01-01 12:00:12.433,2,-11
2010-01-01 12:00:12.461,-5,4
2010-01-01 12:00:12.477,15,-16
2010-01-01 12:00:12.477,-9,-1
2010-01-01 12:00:12.485,-2,14
2010-01-01 12:00:12.505,-9,3
2010-01-01 12:00:12.522,2,-10
2010-01-01 12:00:12.523,-4,-7
2010-01-01 12:00:12.530,1,-1
2010-01-01 12:00:12.548,-5,14
2010-01-01 12:00:12.551,-11,-1
2010-01-01 12:00:12.560,-9,0
2010-01-01 12:00:12.570,-10,8
2010-01-01 12:00:12.575,2,12
2010-01-01 12:00:12.590,11,-15
2010-01-01 12:00:12.636,-5,5
2010-01-01 12:00:12.657,8,-13
2010-01-01 12:00:12.668,-11,-5
2010-01-01 12:00:12.679,1,16
2010-01-01 12:00:12.693,1,-11
2010-01-01 12:00:12.699,14,-16
2010-01-01 12:00:12.708,-10,7
2010-01-01 12:00:12.715,-7,1
2010-01-01 12:00:12.720,-5,-1
2010-01-01 12:00:12.726,1,12
2010-01-01 12:00:12.743,0,2
2010-01-01 12:00:12.752,-12,-2
2010-01-01 12:00:12.778,-14,-12
2010-01-01 12:00:12.778,-6,16
2010-01-01 12:00:12.796,-6,5
2010-01-01 12:00:12.846,9,14
2010-01-01 12:00:12.854,13,7
2010-01-01 12:00:12.869,1,6
2010-01-01 12:00:12.876,0,-12
2010-01-01 12:00:12.885,-12,-5
2010-01-01 12:00:12.890,-8,6
2010-01-01 12:00:12.902,13,8
2010-01-01 12:00:12.915,-11,8
2010-01-01 12:00:12.944,-3,1
2010-01-01 12:00:12.948,10,-9
2010-01-01 12:00:12.961,5,-11
2010-01-01 12:00:12.961,-12,10
2010-01-01 12:00:12.964,-12,1
2010-01-01 12:00:12.965,10,-16
2010-01-01 12:00:12.985,-12,-3
2010-01-01 12:00:13.001,-14,2
2010-01-01 12:00:13.016,-4,-10
2010-01-01 12:00:13.022,-4,-2
